943029-49-0 (S);CC1(C)OC1\C=C\[C@@]2(C)Oc3c(O)ccc(CCC(=O)c4ccc(O)cc4O)c3C=C2
943029-50-3 (R);CC(C)(O)\C=C\C[C@@]1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2C=C1
943029-50-3 (S);CC(C)(O)\C=C\C[C@]1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2C=C1
943029-51-4 (R);C\C(=C/Cc1c(O)c(O)ccc1CCC(=O)c2ccc(O)cc2O)\CC[C@@H](O)C(=C)C
943029-51-4 (S);C\C(=C/Cc1c(O)c(O)ccc1CCC(=O)c2ccc(O)cc2O)\CC[C@H](O)C(=C)C
950169-43-4;COc1ccc(CCC(=O)c2ccc(O)cc2OC)cc1
96400-40-7 (R);CO[C@H](CC(=O)c1ccc(OC)cc1OC)c2ccc3OCOc3c2
96400-40-7 (S);CO[C@@H](CC(=O)c1ccc(OC)cc1OC)c2ccc3OCOc3c2
96400-41-8 (R);CO[C@H](CC(=O)c1ccc2OCOc2c1)c3ccc(OC)cc3OC
96400-41-8 (S);CO[C@@H](CC(=O)c1ccc2OCOc2c1)c3ccc(OC)cc3OC
a,ß-Dihydroxanthohumol;CC(=CCc1c(O)cc(O)c(C(=O)CCc2ccc(O)cc2)c1O)C
